address,capacity,lat,lon,name,project
23 - Teresa Guimarães,15,-22.9554978,-43.1850605,23 - Teresa Guimarães,BikeRio
24 - Lauro Müller,23,-22.9562215,-43.1771829,24 - Lauro Müller,BikeRio
25 - UFRJ Praia Vermelha,15,-22.9527534,-43.1762743,25 - UFRJ Praia Vermelha,BikeRio
26 - Iate Clube,23,-22.9534017,-43.1731411,26 - Iate Clube,BikeRio
27 - Pedra do Leme,15,-22.962385,-43.165493,27 - Pedra do Leme,BikeRio
28 - Praça Demétrio Ribeiro,23,-22.9621894,-43.1754096,28 - Praça Demétrio Ribeiro,BikeRio
29 - Copacabana Palace,23,-22.9672277,-43.1777902,29 - Copacabana Palace,BikeRio
30 - Santa Clara 98,11,-22.9707973,-43.1878196,30 - Santa Clara 98,BikeRio
31 - Santa Clara,23,-22.972478,-43.186424,31 - Santa Clara,BikeRio
32 - Domingos Ferreira,23,-22.975967,-43.188677,32 - Domingos Ferreira,BikeRio
33 - Miguel Lemos,11,-22.9781402,-43.1888416,33 - Miguel Lemos,BikeRio
34 - Conselheiro Lafaiete,23,-22.9863295,-43.1921151,34 - Conselheiro Lafaiete,BikeRio
35 - Pedra do Arpoador,23,-22.9888297,-43.1922299,35 - Pedra do Arpoador,BikeRio
36 - Joaquim Nabuco,15,-22.9873182,-43.1960897,36 - Joaquim Nabuco,BikeRio
37 - Posto 9,15,-22.9863129,-43.2008942,37 - Posto 9,BikeRio
38 - Garcia DÁvila,23,-22.985743,-43.2093593,38 - Garcia DÁvila,BikeRio
39 - Aníbal de Mendonça,11,-22.9863269,-43.211349,39 - Aníbal de Mendonça,BikeRio
40 - Afrânio,19,-22.986241,-43.217434,40 - Afrânio,BikeRio
41 - Maria Quitéria,23,-22.9808258,-43.2069995,41 - Maria Quitéria,BikeRio
42 - Epitácio Pessoa,17,-22.9788299,-43.2010788,42 - Epitácio Pessoa,BikeRio
43 - Parque da Catacumba,17,-22.9757502,-43.2003125,43 - Parque da Catacumba,BikeRio
44 - Epitácio Pessoa 4224,23,-22.9696671,-43.205777,44 - Epitácio Pessoa 4224,BikeRio
45 - Epitácio Pessoa 4794,19,-22.9657931,-43.2035163,45 - Epitácio Pessoa 4794,BikeRio
"Avenida Borges de Medeiros, oposto ao N 2415, no canteiro central",22,-22.966468,-43.21673,46 - Clube Piraquê,BikeRio
47 - Parque dos Patins,17,-22.9725162,-43.217594,47 - Parque dos Patins,BikeRio
49 - Shopping da Gávea,15,-22.9756941,-43.2278443,49 - Shopping da Gávea,BikeRio
50 - Praça Sibélius,23,-22.9779132,-43.2263925,50 - Praça Sibélius,BikeRio
51 - Cidade Nova,17,-22.9107023,-43.2056476,51 - Cidade Nova,BikeRio
52 - Medalha Milagrosa,15,-22.915679,-43.212376,52 - Medalha Milagrosa,BikeRio
53 - Gaffrée e Guinle,11,-22.915922,-43.2216217,53 - Gaffrée e Guinle,BikeRio
54 - Morais e Silva,19,-22.9121705,-43.2221993,54 - Morais e Silva,BikeRio
55 - Mata Machado,17,-22.9125039,-43.2261999,55 - Mata Machado,BikeRio
56 - Praça Varnhagem,23,-22.919187,-43.2335933,56 - Praça Varnhagem,BikeRio
57 - Praça Niteroi,15,-22.916004,-43.234582,57 - Praça Niteroi,BikeRio
58 - Estádio Célio de Barros,11,-22.9121247,-43.2338901,58 - Estádio Célio de Barros,BikeRio
59 - Boulevard 28 de Setembro 157,11,-22.9148521,-43.2404567,59 - Boulevard 28 de setembro 157,BikeRio
60 - Maxwell,15,-22.9202627,-43.2439252,60 - Maxwell,BikeRio
61 - SESC Tijuca,11,-22.924198,-43.2416447,61 - SESC Tijuca,BikeRio
62 - Oi Futuro,11,-22.9257471,-43.2455129,62 - Oi Futuro,BikeRio
63 - Praça Xavier de Brito,15,-22.932135,-43.242713,63 - Praça Xavier de Brito,BikeRio
64 - Metrô Uruguai,19,-22.931984,-43.239549,64 - Metrô Uruguai,BikeRio
65 - Metrô Uruguaiana,15,-22.902536,-43.1821948,65 - Metrô Uruguaiana,BikeRio
66 - Estação de Bondes,11,-22.910029,-43.178429,66 - Estação de Bondes,BikeRio
67 - Gomes Freire,15,-22.912754,-43.1830277,67 - Gomes Freire,BikeRio
68 - Rua do Catete,23,-22.923446,-43.1772281,68 - Rua do Catete,BikeRio
69 - Palácio do Catete,19,-22.9270379,-43.1766158,69 - Palácio do Catete,BikeRio
70 - Praça São Salvador,23,-22.9341308,-43.1808624,70 - Praça São Salvador,BikeRio
71 - Palácio Guanabara,19,-22.9388664,-43.1831331,71 - Palácio Guanabara,BikeRio
72 - Santa Marta,17,-22.9502181,-43.1921946,72 - Santa Marta,BikeRio
73 - Furnas,23,-22.956439,-43.1916046,73 - Furnas,BikeRio
74 - Visconde de Caravelas,19,-22.9567882,-43.195087,74 - Visconde de Caravelas,BikeRio
75 - Pinheiro Guimarães,15,-22.9586824,-43.1966812,75 - Pinheiro Guimarães,BikeRio
76 - Baixo Gávea,19,-22.972937,-43.225107,76 - Baixo Gávea,BikeRio
77 - Cine Leblon,17,-22.981194,-43.2212383,77 - Cine Leblon,BikeRio
78 - Fashion Mall,11,-22.996323,-43.258427,78 - Fashion Mall,BikeRio
79 - São Conrado,11,-22.998586,-43.257999,79 - São Conrado,BikeRio
80 - Praça São Conrado,23,-23.000446,-43.270762,80 - Praça São Conrado,BikeRio
81 - General Venâncio Flores,15,-22.986214,-43.224568,81 - General Venâncio Flores,BikeRio
82 - Antero de Quental,29,-22.985044,-43.22317,82 - Antero de Quental,BikeRio
83 - Cupertino Durão,23,-22.986781,-43.220258,83 - Cupertino Durão,BikeRio
85 - Jardim de Alah,23,-22.983572,-43.216415,85 - Jardim de Alah,BikeRio
86 -  Henrique Dumont,23,-22.986159,-43.213967,86 -  Henrique Dumont,BikeRio
87 - Barão da Torre 631,23,-22.982617,-43.212027,87 - Barão da Torre 631,BikeRio
88 - Barão da Torre 577,23,-22.982887,-43.209402,88 - Barão da Torre 577,BikeRio
89 - Praça Nossa Senhora da Paz,15,-22.984274,-43.206084,89 - Praça Nossa Senhora da Paz,BikeRio
90 -  Joana Angélica,11,-22.985143,-43.205037,90 -  Joana Angélica,BikeRio
91 - Visconde de Pirajá,11,-22.984323,-43.203169,91 - Visconde de Pirajá,BikeRio
92 - Alberto de Campos,15,-22.981185,-43.20277,92 - Alberto de Campos,BikeRio
93 - Praça Nossa Senhora Auxiliadora,15,-22.977808,-43.222491,93 - Praça Nossa Senhora Auxiliadora,BikeRio
94 - Farme de Amoedo,15,-22.982609,-43.200621,94 - Farme de Amoedo,BikeRio
95 - General Osório,17,-22.984773,-43.197041,95 - General Osório,BikeRio
96 - Posto 6,19,-22.986664,-43.189345,96 - Posto 6,BikeRio
97 - Júlio de Castilhos,15,-22.98392,-43.190369,97 - Júlio de Castilhos,BikeRio
99 - Sá Ferreira,11,-22.981995,-43.195039,99 - Sá Ferreira,BikeRio
Rua Leopoldo Miguez E/n 150,19,-22.977636,-43.191685,101 - Leopoldo Miguez,BikeRio
102 - Metrô Cantagalo,27,-22.97675,-43.194212,102 - Metrô Cantagalo,BikeRio
103 - Barão de Ipanema,11,-22.974133,-43.191023,103 - Barão de Ipanema,BikeRio
105 - Dias da Rocha,17,-22.972912,-43.188701,105 - Dias da Rocha,BikeRio
106 - Parque Olimpico,19,-22.973571,-43.393094,106 - Parque Olimpico,BikeRio
107 - Figueiredo Magalhães,15,-22.966031,-43.189406,107 - Figueiredo Magalhães,BikeRio
108 - Hospital Lourenço Jorge,11,-22.995495,-43.365557,108 - Hospital Lourenço Jorge,BikeRio
109 - Metrô Siqueira Campos,29,-22.967614,-43.187319,109 - Metrô Siqueira Campos,BikeRio
110 - Rio 2,15,-22.972922,-43.384719,110 - Rio 2,BikeRio
111 - Siqueira Campos,19,-22.970023,-43.183862,111 - Siqueira Campos,BikeRio
114 - Cardeal Arcoverde,17,-22.964835,-43.1800234,114 - Cardeal Arcoverde,BikeRio
115 - Shopping Metropolitano,15,-22.973029,-43.370981,115 - Shopping Metropolitano,BikeRio
116 - Praça do Lido,17,-22.964885,-43.175664,116 - Praça do Lido,BikeRio
117 - Antônio Vieira,23,-22.964155,-43.1723142,117 - Antônio Vieira,BikeRio
119 - Parque Lage,11,-22.961338,-43.211823,119 - Parque Lage,BikeRio
120 -  Rua da Passagem,23,-22.952413,-43.182431,120 -  Rua da Passagem,BikeRio
121 - Mourisco,23,-22.949818,-43.180999,121 - Mourisco,BikeRio
122 - Botafogo Praia Shopping,11,-22.947933,-43.182996,122 - Botafogo Praia Shopping,BikeRio
123 - Bambina,11,-22.949319,-43.186131,123 - Bambina,BikeRio
124 - Praça Joia Valansi,17,-22.945131,-43.183841,124 - Praça Joia Valansi,BikeRio
126 - Clarice Índio do Brasil,15,-22.940002,-43.178956,126 - Clarice Índio do Brasil,BikeRio
128 - Palacio da Cidade,23,-22.951227,-43.194193,128 - Palacio da Cidade,BikeRio
131 - Metrô Botafogo,23,-22.951866,-43.184068,131 - Metrô Botafogo,BikeRio
132 - Escola Eleva,19,-22.953891,-43.179582,132 - Escola Eleva,BikeRio
133 - Pasteur,15,-22.954093,-43.168655,133 - Pasteur,BikeRio
135 - BRT Salvador Allende,11,-23.008613,-43.443971,135 - BRT Salvador Allende,BikeRio
136 - Metrô Flamengo,15,-22.937332,-43.177821,136 - Metrô Flamengo,BikeRio
137 - Tucumam,11,-22.935534,-43.174009,137 - Tucumam,BikeRio
138 - Praça José de Alencar,15,-22.933447,-43.177594,138 - Praça José de Alencar,BikeRio
139 - Buarque de Macedo,15,-22.929518,-43.174002,139 - Buarque de Macedo,BikeRio
141 - New York City Center,23,-22.999788,-43.360771,141 - New York City Center,BikeRio
"Rua Álvaro Chaves, oposto ao número 6",15,-22.93601,-43.18449,143 - Fluminense,BikeRio
146 - Planetário Gávea,17,-22.978929,-43.229819,146 - Planetário Gávea,BikeRio
147 - Alfredo Russell,15,-22.981377,-43.225884,147 - Alfredo Russell,BikeRio
148 - Bartolomeu Mitre,15,-22.981879,-43.223584,148 - Bartolomeu Mitre,BikeRio
149 - Rainha Guilhermina,15,-22.985248,-43.226533,149 - Rainha Guilhermina,BikeRio
153 - Epitácio Pessoa,23,-22.980504,-43.210916,153 - Epitácio Pessoa,BikeRio
154 - Curva do Calombo,17,-22.973741,-43.205042,154 - Curva do Calombo,BikeRio
156 - J. Carlos,11,-22.960203,-43.20887,156 - J. Carlos,BikeRio
157 - Frei Leandro,23,-22.962804,-43.207237,157 - Frei Leandro,BikeRio
158 - Lagoa Vasco da Gama,23,-22.963018,-43.209553,158 - Lagoa Vasco da Gama,BikeRio
159 - Hospital da Lagoa,15,-22.962769,-43.21622,159 - Hospital da Lagoa,BikeRio
160 - Paróquia São José da Lagoa,23,-22.964358,-43.214736,160 - Paróquia São José da Lagoa,BikeRio
161 - Jd. Botânico,11,-22.96564,-43.218873,161 - Jd. Botânico,BikeRio
162 - Pacheco Leão,17,-22.965299,-43.222538,162 - Pacheco Leão,BikeRio
163 - Viúva Lacerda,17,-22.957195,-43.198819,163 - Viúva Lacerda,BikeRio
164 - Shopping Tijuca,17,-22.921629,-43.236061,164 - Shopping Tijuca,BikeRio
165 - Tijuca off Shopping,11,-22.923731,-43.236009,165 - Tijuca off shopping,BikeRio
166 - Tijuca Tênis Clube,11,-22.9266249,-43.2355844,166 - Tijuca Tênis Clube,BikeRio
167 - Metrô Saens Pena,31,-22.924356,-43.23215,167 - Metrô Saens Pena,BikeRio
168 - Barão de Mesquita 174,19,-22.920923,-43.232102,168 - Barão de Mesquita 174,BikeRio
169 - Conde de Bonfim 526,17,-22.928462,-43.236607,169 - Conde de Bonfim 526,BikeRio
170 - Pereira de Siqueira,11,-22.92036,-43.227208,170 - Pereira de Siqueira,BikeRio
171 - Colégio Militar,11,-22.916305,-43.227292,171 - Colégio Militar,BikeRio
172 - Barão de Mesquita,19,-22.916876,-43.22924,172 - Barão de Mesquita,BikeRio
173 - SENAI Tijuca,15,-22.915419,-43.232501,173 - SENAI Tijuca,BikeRio
174 - São Cristóvão,15,-22.910903,-43.223468,174 - São Cristóvão,BikeRio
175 - Félix da Cunha,17,-22.922858,-43.22253,175 - Félix da Cunha,BikeRio
176 - Largo Frei Cassiano Villarosa,15,-22.915735,-43.216963,176 - Largo Frei Cassiano Villarosa,BikeRio
177 - Senador Furtado,15,-22.910431,-43.2203,177 - Senador Furtado,BikeRio
178 - Praça da Bandeira,19,-22.912196,-43.215194,178 - Praça da Bandeira,BikeRio
179 - Haddock Lobo,15,-22.920943,-43.218829,179 - Haddock Lobo,BikeRio
181 - Júlio do Carmo,15,-22.910601,-43.202749,181 - Júlio do Carmo,BikeRio
182 - Metrô Praça Onze,17,-22.909549,-43.200404,182 - Metrô Praça Onze,BikeRio
185 - Rua da Lapa,15,-22.915714,-43.177829,185 - Rua da Lapa,BikeRio
186 - Lúcio de Mendonça,11,-22.915528,-43.224443,186 - Lúcio de Mendonça,BikeRio
187 - Extra Mariz e Barros,17,-22.917778,-43.224048,187 - Extra Mariz e Barros,BikeRio
188 - Metrô São Francisco Xavier,17,-22.920523,-43.223738,188 - Metrô São Francisco Xavier,BikeRio
189 - Mariz e Barros,15,-22.914477,-43.219281,189 - Mariz e Barros,BikeRio
190 - Metrô Afonso Pena,31,-22.918022,-43.2176,190 - Metrô Afonso Pena,BikeRio
192 - Saens Peña Medical Center,15,-22.923596,-43.22957,192 - Saens Peña Medical Center,BikeRio
193 - Uruguai,11,-22.928682,-43.243507,193 - Uruguai,BikeRio
194 - Batalhão de Policia do Exército,17,-22.924202,-43.238982,194 - Batalhão de Policia do Exército,BikeRio
195 - Senador Muniz Freire,15,-22.92094,-43.239961,195 - Senador Muniz Freire,BikeRio
196 - Ribeiro Guimarães,15,-22.918562,-43.237601,196 - Ribeiro Guimarães,BikeRio
197 - Octacílio Negrão de Lima,15,-22.917936,-43.241613,197 - Octacílio Negrão de Lima,BikeRio
199 - Metrô Estácio,27,-22.91273,-43.205357,199 - Metrô Estácio,BikeRio
200 - Armazém da Utopia,11,-22.893109,-43.190047,200 - Armazém da Utopia,BikeRio
201 - Aquário,15,-22.892758,-43.192842,201 - Aquário,BikeRio
202 - Armazém 3,15,-22.894614,-43.1863,202 - Armazém 3,BikeRio
203 - Praça Mauá,19,-22.896985,-43.181576,203 - Praça Mauá,BikeRio
204 - São Bento,15,-22.8984,-43.179711,204 - São Bento,BikeRio
205 - Praça Barão de Ládario,17,-22.898996,-43.17694,205 - Praça Barão de Ládario,BikeRio
206 - Tribunal Marítimo,15,-22.901126,-43.174937,206 - Tribunal Marítimo,BikeRio
207 - Rua da Alfândega,15,-22.902264,-43.179098,207 - Rua da Alfândega,BikeRio
208 - Av. Passos,11,-22.902157,-43.184158,208 - Av. Passos,BikeRio
209 - Rua da Quitanda,11,-22.903949,-43.176419,209 - Rua da Quitanda,BikeRio
210 - Praça XV,43,-22.902064,-43.173213,210 - Praça XV,BikeRio
211 - Península 2,11,-22.991781,-43.350684,211 - Península 2,BikeRio
213 - Praça do Expedicionário,23,-22.906915,-43.172771,213 - Praça do Expedicionário,BikeRio
214 - Poeta Manuel Bandeira,15,-22.910626,-43.172382,214 - Poeta Manuel Bandeira,BikeRio
216 - Clementino Fraga,15,-22.908233,-43.194759,216 - Clementino Fraga,BikeRio
217 -Balança Mas Não Cai,15,-22.906395,-43.193826,217 -Balança Mas Não Cai,BikeRio
218 - Península 1,11,-22.98894,-43.356761,218 - Península 1,BikeRio
219 - Frei Caneca,15,-22.910809,-43.192831,219 - Frei Caneca,BikeRio
221 - Rua do Riachuelo,11,-22.914725,-43.185073,221 - Rua do Riachuelo,BikeRio
223 - Henrique Valadares,11,-22.911151,-43.18575,223 - Henrique Valadares,BikeRio
224 - Catedral Metropolitano,15,-22.909589,-43.180929,224 - Catedral Metropolitano,BikeRio
226 - Rua do Rezende,15,-22.914021,-43.188198,226 - Rua do Rezende,BikeRio
227 - Saara Buenos Aires,11,-22.905548,-43.18518,227 - Saara Buenos Aires,BikeRio
228 - Praça do Itamaraty,19,-22.903433,-43.187331,228 -  Praça do Itamaraty,BikeRio
229 - Afonso de Taunay,0,-23.010457,-43.312793,229 - Afonso de Taunay,BikeRio
230 -Metrô São Conrado,19,-22.99339,-43.253626,230 -Metrô São Conrado,BikeRio
231 - Prefeito Mendes de Morais,15,-22.999505,-43.266278,231 - Prefeito Mendes de Morais,BikeRio
232 - Parque de Madureira I,29,-22.870199,-43.340191,232 - Parque de Madureira I,BikeRio
233 - Parque Madureira II,31,-22.856461,-43.351608,233 - Parque Madureira II,BikeRio
234 - Pier Barra da Tijuca,15,-23.014437,-43.297871,234 - Pier Barra da Tijuca,BikeRio
235 - R. Tenente Airton Pereira,15,-23.014509,-43.301611,235 - R. Tenente Airton Pereira,BikeRio
236 - Jornalista Mário Filho,15,-23.014858,-43.306577,236 - Jornalista Mário Filho,BikeRio
237 - Adilson Seria da Motta,15,-23.013665,-43.309701,237 - Adilson Seria da Motta,BikeRio
"Avenida Lúcio Costa, E/F N 1700, esquina com Av. Afonso de Taunay",15,-23.013798,-43.313735,238 - Port Brise,BikeRio
239 - Praça São Perpétuo,15,-23.013026,-43.317132,239 - Praça São Perpétuo,BikeRio
240 - Lúcio Costa 2860,15,-23.011824,-43.3225,240 - Lúcio Costa 2860,BikeRio
241 - Posto 4 Barra,15,-23.011043,-43.326199,241 - Posto 4 Barra,BikeRio
242 - Posto 5 Barra,15,-23.010629,-43.331698,242 - Posto 5 Barra,BikeRio
243 - Santorini,15,-23.007347,-43.318611,243 - Santorini,BikeRio
244 - Lúcio Costa 4000,11,-23.010345,-43.336916,244 - Lúcio Costa 4000,BikeRio
245 - Lúcio Costa 4350,15,-23.010364,-43.341695,245 - Lúcio Costa 4350,BikeRio
246 - Lúcio Costa 4600,15,-23.010134,-43.343713,246 - Lúcio Costa 4600,BikeRio
"Avenida Afonso Arinos de Melo Franco, oposto ao N 222, E/F à Praça Pimentinha",19,-23.003987,-43.323468,247 - Praça Pimentinha,BikeRio
248 - Downtown,15,-23.004395,-43.320165,248 - Downtown,BikeRio
249 - Ministro Afrânio Costa,15,-23.005537,-43.339201,249 - Ministro Afrânio Costa,BikeRio
250 - Praça Professor Souza Araújo,11,-23.0074,-43.316794,250 - Praça Professor Souza Araújo,BikeRio
251- Veiga de Almeida,19,-23.002756,-43.352642,251- Veiga de Almeida,BikeRio
252 - Parque das Rosas,19,-23.000738,-43.351858,252 - Parque das Rosas,BikeRio
253 - Av. Olegário Maciel,11,-23.012544,-43.305068,253 - Av. Olegário Maciel,BikeRio
254 - Vila do PAN,11,-22.970289,-43.357858,254 - Vila do PAN,BikeRio
255 - Praça Euvaldo Lodi,11,-23.008741,-43.304128,255 - Praça Euvaldo Lodi,BikeRio
256 - Humaitá,17,-22.960477,-43.202642,256 - Humaitá,BikeRio
257 - Metrô Jardim Oceânico,23,-23.007347,-43.310976,257 - Metrô Jardim Oceânico,BikeRio
258 - Praça do Pomar,11,-23.010378,-43.309383,258 - Praça do Pomar,BikeRio
259 - Posto 9 Recreio,11,-23.022929,-43.448587,259 - Posto 9 Recreio,BikeRio
260 - Posto 12 Recreio,27,-23.030213,-43.468981,260 - Posto 12 Recreio,BikeRio
261 - Praça Soldado Geraldo da Cruz,15,-23.010155,-43.320883,261 - Praça Soldado Geraldo da,BikeRio
262 - Golden Green,11,-23.009967,-43.348066,262 - Golden Green,BikeRio
263 - Almare,11,-23.010321,-43.357229,263 - Almare,BikeRio
264 - Alfa Barra,11,-23.010728,-43.365249,264 - Alfa Barra,BikeRio
265 - Ayrton Senna,11,-23.004741,-43.366546,265 - Ayrton Senna,BikeRio
266 - Terminal Alvorada Oste,23,-23.001018,-43.368766,266 - Terminal Alvorada Oste,BikeRio
267 - Terminal Alvorada Leste,23,-23.001892,-43.364426,267 - Terminal Alvorada Leste,BikeRio
268 - Bosque da Barra,11,-22.999788,-43.374757,268 - Bosque da Barra,BikeRio
269 - Promo Info,11,-22.999967,-43.378932,269 - Promo Info,BikeRio
270 - Mandala,11,-23.003689,-43.375908,270 - Mandala,BikeRio
271 - Alfa Barra II,11,-23.010689,-43.369382,271 - Alfa Barra II,BikeRio
272 - La Place,11,-23.002387,-43.371547,272 - La Place,BikeRio
273 - Escola Eleva  Barra,15,-22.988717,-43.361249,273 - Escola Eleva  Barra,BikeRio
274 - SubPrefeitura da Barra e Jacarepaguá,11,-22.992393,-43.366313,274 - SubPrefeitura da Barra e Jacarepaguá,BikeRio
275 - Leila Diniz,11,-22.994834,-43.361315,275 - Leila Diniz,BikeRio
276 - Zoila Abreu Teixeira,11,-23.000579,-43.358636,276 - Zoila Abreu Teixeira,BikeRio
278 - Estácio,11,-23.005514,-43.349673,278 - Estácio,BikeRio
279 - Barra Business Center,11,-23.00053,-43.34771,279 - Barra Business Center,BikeRio
280 - Barra Garden,11,-23.000824,-43.341086,280 - Barra Garden,BikeRio
281 - Gastão Sengés,11,-23.002002,-43.341529,281 - Gastão Sengés,BikeRio
282 - Guanabara,11,-23.000794,-43.335925,282 - Guanabara,BikeRio
283 - Athaydeville,11,-23.001945,-43.328248,283 - Athaydeville,BikeRio
284 - Praça Restier Gonçalves,11,-23.014826,-43.45779,284 - Praça Restier Gonçalves,BikeRio
285 - Gláucio Gil Praia,11,-23.024866,-43.457286,285 - Gláucio Gil Praia,BikeRio
286 - BRT Benvindo de Novaes,11,-23.014323,-43.467479,286 - BRT Benvindo de Novaes,BikeRio
287 - Dez e meio,11,-23.027269,-43.463333,287 - Dez e meio,BikeRio
288 - Murilo Araújo,11,-23.016811,-43.464305,288 - Murilo Araújo,BikeRio
289 - Parque Chico Mendes,11,-23.021924,-43.470847,289 - Parque Chico Mendes,BikeRio
290 - Barra World,11,-23.009754,-43.441211,290 - Barra World,BikeRio
291 - Praça Miguel Osório,11,-23.013355,-43.450808,291 - Praça Miguel Osório,BikeRio
292 - Parque Marapendi,11,-23.017764,-43.450483,292 - Parque Marapendi,BikeRio
"Largo Jornalista Glênio Peres, oposto ao Mercado Municipal / esquina Av. Borges de Medeiros",29,-30.0283417,-51.227863,1 - Mercado,BikePOA
"Rua Capitão Montanha, lateral do Museu de Arte do Rio Grande do Sul",17,-30.0284999,-51.2323205,2 - Praça da Alfândega,BikePOA
"Rua Sete de Setembro, oposto ao número 510",17,-30.0308719,-51.2351243,3 - Casa de Cultura Mário Quintana,BikePOA
"Rua Duque de Caxias, em frente ao número 1208 / esquina com Rua Praça Mal. Deodoro",15,-30.033485,-51.22958,4 - Museu Júlio de Castilhos,BikePOA
Rua Cel Fernando Machado oposto ao número 623 / próximo à Brigada Militar,11,-30.03503,-51.23125,5 - Rua Fernando Machado,BikePOA
Rua Duque de Caxias oposto ao número 593 / esquina com Rua General Canabarro,11,-30.034008,-51.235398,6 - Duque de Caxias,BikePOA
7 - Usina do Gasômetro,27,-30.0332788,-51.2395546,7 - Usina do Gasômetro,BikePOA
"Rua Ibanor José Tartarotti, próxima a entrada da Câmara Municipal dos Vereadores de Porto Alegre / esquina Avenida Loureiro da Silva",19,-30.0381019,-51.2367387,8 - Câmara dos Vereadores,BikePOA
Avenida Augusto de Carvalho em frente ao número 1133 (SERPRO) / esquina com Avenida Loureiro da Silva,15,-30.03773,-51.23294,9 - SERPRO,BikePOA
Avenida Loureiro da Silva / em frente a Praça General Braga Pinheiro,19,-30.03767,-51.23026,10 - UFRGS Administração,BikePOA
"Rua José do Patrocínio, em frente ao número 9 / esquina com Rua Cel. Genuíno",15,-30.03608,-51.22725,11 - Caminho dos Antiquários,BikePOA
"Avenida Sarmento Leite, em frente a UFRGS/ Esquina Avenida Osvaldo Aranha",23,-30.032518,-51.2207851,12 - UFRGS Arq.,BikePOA
Rua Sarmento Leite oposto ao número 763 / Praça Professor Saint Pastous,15,-30.03563,-51.222609,13 - FARSUL,BikePOA
"Rua General Lima e Siva, oposto ao número 591",19,-30.03831,-51.22145,14 - Lima e Silva,BikePOA
