i_start,j_start,i_end,j_end,trip counts,origin,destination
7,3,8,5,1710.223829,POINT (-46.71991584934801 -23.77282441981782),POINT (-46.68022623514131 -23.74368843319052)
7,3,10,4,362.427651,POINT (-46.71580135795268 -23.76882484755076),POINT (-46.70321176192682 -23.65845624403057)
7,10,7,11,835.873992,POINT (-46.58790149123482 -23.77478041570312),POINT (-46.57632330163376 -23.75525829131537)
7,10,9,9,1132.46045,POINT (-46.59173413078543 -23.75187649264511),POINT (-46.61099684546728 -23.69800145211073)
7,11,7,10,835.873992,POINT (-46.57632330163376 -23.75525829131537),POINT (-46.58790149123482 -23.77478041570312)
8,4,8,5,868.504826,POINT (-46.69690484283266 -23.73630033570513),POINT (-46.68590002096373 -23.74398783762005)
8,4,10,3,796.30801,POINT (-46.70045576855664 -23.71816538871497),POINT (-46.71605118224804 -23.68377892987269)
8,5,7,3,1710.223829,POINT (-46.68022623514131 -23.74368843319052),POINT (-46.71991584934801 -23.77282441981782)
8,5,8,4,868.504826,POINT (-46.68590002096373 -23.74398783762005),POINT (-46.69690484283266 -23.73630033570513)
8,10,9,10,572.44216,POINT (-46.59696651474194 -23.73445741930089),POINT (-46.59317360578599 -23.70647572654024)
9,3,10,3,244.537178,POINT (-46.7150182955398 -23.71428429483497),POINT (-46.71605119159126 -23.68377893460945)
9,5,10,5,132.382264,POINT (-46.6793595383044 -23.6905835266992),POINT (-46.69259230806436 -23.67499815271283)
9,7,9,8,519.412877,POINT (-46.64248891866232 -23.68891122917583),POINT (-46.63078321407544 -23.689089160686)
9,8,9,7,1023.498524,POINT (-46.63078320941236 -23.68908915831709),POINT (-46.64248891399806 -23.68891122680694)
9,9,7,10,1132.46045,POINT (-46.61099684546728 -23.69800145211073),POINT (-46.59173413078543 -23.75187649264511)
9,10,8,10,572.44216,POINT (-46.59317360578599 -23.70647572654024),POINT (-46.59696651474194 -23.73445741930089)
9,15,10,13,740.297128,POINT (-46.4979113087722 -23.69747563919257),POINT (-46.53404448886317 -23.65680073064999)
9,15,10,14,1545.652664,POINT (-46.49744000231203 -23.69828391778283),POINT (-46.517629184128 -23.66154082532437)
10,0,11,2,268.767697,POINT (-46.77988877836739 -23.65686308215428),POINT (-46.73616947638914 -23.63021527160205)
10,2,12,7,848.2824720000001,POINT (-46.74243645561613 -23.65495903151363),POINT (-46.64349459785672 -23.59674768599375)
10,3,8,4,796.3080100000001,POINT (-46.71605118224804 -23.68377892987269),POINT (-46.70045576855664 -23.71816538871497)
10,3,9,3,244.537178,POINT (-46.71605119159126 -23.68377893460945),POINT (-46.7150182955398 -23.71428429483497)
10,3,10,3,489.074356,POINT (-46.71797081570193 -23.66863255286553),POINT (-46.71797081570193 -23.66863255286553)
10,4,7,3,362.427651,POINT (-46.70321176192682 -23.65845624403057),POINT (-46.71580135795268 -23.76882484755076)
10,4,10,4,757.589098,POINT (-46.710918071942 -23.67397506711354),POINT (-46.710918071942 -23.67397506711354)
10,4,13,4,20.247036,POINT (-46.71046364847177 -23.6545025206952),POINT (-46.69598931132675 -23.58558188090461)
10,5,9,5,132.382264,POINT (-46.69259230806436 -23.67499815271283),POINT (-46.6793595383044 -23.6905835266992)
10,5,14,8,206.804346,POINT (-46.6937899374697 -23.66446513032682),POINT (-46.63042488956199 -23.52705420290261)
10,9,10,11,380.524641,POINT (-46.61196056671727 -23.6622678475565),POINT (-46.56910559536891 -23.65876148624939)
10,11,10,9,380.524641,POINT (-46.56910559536891 -23.65876148624939),POINT (-46.61196056671727 -23.6622678475565)
10,11,10,11,1642.031168,POINT (-46.57635625392133 -23.6719128046918),POINT (-46.57635625392133 -23.6719128046918)
10,11,11,10,58.624799,POINT (-46.57453467998682 -23.65285474333687),POINT (-46.58283722092629 -23.63568475414931)
10,11,11,13,439.438816,POINT (-46.56769378187389 -23.67437122706304),POINT (-46.53923183473535 -23.64099111976188)
10,13,9,15,740.297128,POINT (-46.53404448886317 -23.65680073064999),POINT (-46.4979113087722 -23.69747563919257)
10,13,10,13,2045.66814,POINT (-46.53048364220702 -23.66543291675146),POINT (-46.53048364220702 -23.66543291675146)
10,13,11,12,110.224473,POINT (-46.52922786367228 -23.65316389115386),POINT (-46.546950226852 -23.63048411924623)
10,14,9,15,1545.652664,POINT (-46.517629184128 -23.66154082532437),POINT (-46.49744000231203 -23.69828391778283)
10,14,11,12,207.910447,POINT (-46.5147025995811 -23.65174423806525),POINT (-46.54198290119624 -23.61977826579908)
11,0,11,1,416.053521,POINT (-46.77097892417603 -23.62706762679925),POINT (-46.75614416044856 -23.62217055887252)
11,0,12,0,488.487492,POINT (-46.77032519376537 -23.63019939209785),POINT (-46.77100947772428 -23.61840771828784)
11,1,11,0,416.053521,POINT (-46.75614416044856 -23.62217055887252),POINT (-46.77097892417603 -23.62706762679925)
11,2,10,0,268.767697,POINT (-46.73616947638914 -23.63021527160205),POINT (-46.77988877836739 -23.65686308215428)
11,2,12,5,576.096942,POINT (-46.73876843015736 -23.63628132339616),POINT (-46.69160620088033 -23.60287711109587)
11,3,12,5,160.867774,POINT (-46.73106773058888 -23.63354112137836),POINT (-46.69104731111737 -23.59368156210178)
11,3,13,3,160.867774,POINT (-46.73106773058888 -23.63354112137836),POINT (-46.73072474015338 -23.55589647068122)
11,4,11,5,480.14569900000004,POINT (-46.69849111777862 -23.62311046369958),POINT (-46.68765633484005 -23.62499859899653)
11,4,12,5,535.137803,POINT (-46.70423785493996 -23.63475030955326),POINT (-46.6782791258859 -23.58898896999959)
11,4,13,4,39.621531,POINT (-46.69661541868434 -23.62281493992077),POINT (-46.69886386931407 -23.56456459209065)
11,4,13,5,176.151615,POINT (-46.69928348125374 -23.62147638622943),POINT (-46.68098925785846 -23.5832977825618)
11,4,13,6,187.869814,POINT (-46.69450253176843 -23.62084239329509),POINT (-46.66965188914089 -23.56226238677988)
11,5,11,4,480.14569900000004,POINT (-46.68765633484005 -23.62499859899653),POINT (-46.69849111777862 -23.62311046369958)
11,5,11,5,157.462638,POINT (-46.68513730314768 -23.63183893142597),POINT (-46.68513730314768 -23.63183893142597)
11,5,11,6,66.958224,POINT (-46.67709402428086 -23.62522151233922),POINT (-46.67223607486739 -23.65016086910179)
11,5,12,5,444.1981609999999,POINT (-40.75009872345642 -20.61444133324209),POINT (-40.74196847441691 -20.60952884101523)
11,5,13,4,255.599233,POINT (-46.68765633950881 -23.62499860135904),POINT (-46.69414981418398 -23.57814311415614)
11,5,13,5,350.77071,POINT (-46.6836088664986 -23.62501548923952),POINT (-46.69101572187825 -23.5705739184191)
11,6,11,5,66.958224,POINT (-46.67223607486739 -23.65016086910179),POINT (-46.67709402428086 -23.62522151233922)
11,6,11,7,113.771638,POINT (-46.65887155768694 -23.64055194805459),POINT (-46.64170266003684 -23.62673790075045)
11,7,11,6,113.771638,POINT (-46.64170266003684 -23.62673790075045),POINT (-46.65887155768694 -23.64055194805459)
11,7,11,9,879.9941289999997,POINT (-46.63683127719038 -23.62513685212084),POINT (-46.61748685802954 -23.63092949065733)
11,7,12,5,283.990582,POINT (-46.64835806372371 -23.63617608569157),POINT (-46.67616452451193 -23.61841384130795)
11,8,11,9,251.121363,POINT (-46.63531678522309 -23.62235345840022),POINT (-46.61317860482929 -23.63928220788555)
11,8,12,7,822.962724,POINT (-46.6353053906567 -23.62459307169492),POINT (-46.64775900200386 -23.6149344533288)
11,9,11,7,879.9941289999997,POINT (-46.61748685802954 -23.63092949065733),POINT (-46.63683127719038 -23.62513685212084)
11,9,11,8,251.121363,POINT (-46.61317860482929 -23.63928220788555),POINT (-46.63531678522309 -23.62235345840022)
11,9,12,9,1846.718748,POINT (-46.60588405913848 -23.63591738339121),POINT (-46.60307239970059 -23.60140550843551)
11,10,10,11,58.624799,POINT (-46.58283722092629 -23.63568475414931),POINT (-46.57453467998682 -23.65285474333687)
11,10,11,12,422.039267,POINT (-46.58036445222557 -23.63300989282115),POINT (-46.55737992411343 -23.65043633381855)
11,10,12,10,491.136924,POINT (-46.59094928446494 -23.62644497933891),POINT (-46.59052367407305 -23.6041804783981)
11,11,11,11,922.1588899999999,POINT (-46.56632433839129 -23.63474164956346),POINT (-46.56632433839129 -23.63474164956346)
11,12,10,13,110.224473,POINT (-46.546950226852 -23.63048411924623),POINT (-46.52922786367228 -23.65316389115386)
11,12,11,10,422.039267,POINT (-46.55737992411343 -23.65043633381855),POINT (-46.58036445222557 -23.63300989282115)
11,13,10,11,439.438816,POINT (-46.53923183473535 -23.64099111976188),POINT (-46.56769378187389 -23.67437122706304)
11,14,11,14,628.155262,POINT (-46.5064130419121 -23.62768176727495),POINT (-46.5064130419121 -23.62768176727495)
11,18,12,16,382.376779,POINT (-46.44159499245486 -23.6397441787983),POINT (-46.47708955872936 -23.59513269067055)
12,0,11,0,488.487492,POINT (-46.77100947772428 -23.61840771828784),POINT (-46.77032519376537 -23.63019939209785)
12,0,13,2,636.2918530000002,POINT (-46.78268872979871 -23.61534832818317),POINT (-46.74165784095646 -23.57680510077167)
12,2,12,3,181.351088,POINT (-46.73611213729421 -23.59015923718196),POINT (-46.7185748015396 -23.61203527155502)
12,2,13,3,856.761155,POINT (-46.73312671764675 -23.59933087492936),POINT (-46.71808159942173 -23.58471601042146)
12,3,12,2,181.351088,POINT (-46.7185748015396 -23.61203527155502),POINT (-46.73611213729421 -23.59015923718196)
12,3,12,3,273.670114,POINT (-46.72091351281254 -23.59676677074963),POINT (-46.72091351281254 -23.59676677074963)
12,3,13,6,185.908847,POINT (-46.7192365970129 -23.59064496246963),POINT (-46.65842173129164 -23.55649491017993)
12,4,12,5,115.74886200000002,POINT (-46.69662008483758 -23.60643441121949),POINT (-46.67625592910759 -23.59323691904615)
12,4,12,6,16.639008999999998,POINT (-46.69611565138302 -23.61520809045078),POINT (-46.65887977161214 -23.59450713659393)
12,4,12,7,292.2454160000001,POINT (-46.69496335593241 -23.60181106644905),POINT (-46.64609124649522 -23.59596164182529)
12,4,13,2,20.247036,POINT (-46.69806422004264 -23.59454411393488),POINT (-46.73738246883051 -23.5668297300283)
12,4,13,6,79.622434,POINT (-46.69692126433414 -23.61156017979316),POINT (-46.66704825123129 -23.58492896748227)
12,4,14,6,93.488666,POINT (-46.69858045952553 -23.61483798877339),POINT (-46.65959723280475 -23.54713609597673)
12,5,11,3,160.867774,POINT (-46.69104731111737 -23.59368156210178),POINT (-46.73106773058888 -23.63354112137836)
12,5,11,4,121.243974,POINT (-46.6762162022904 -23.60321562378641),POINT (-46.70082793768921 -23.63558238781764)
12,5,11,5,494.561085,POINT (-39.73145737439817 -20.09829185479031),POINT (-39.73919598311365 -20.10317099076323)
12,5,12,4,115.74886200000002,POINT (-46.67625592910759 -23.59323691904615),POINT (-46.69662008483758 -23.60643441121949)
12,5,12,5,683.7300260000001,POINT (-46.67709884687179 -23.61559538327247),POINT (-46.67709884687179 -23.61559538327247)
12,5,12,6,628.372162,POINT (-42.29570046948739 -21.38083702030343),POINT (-42.2808377086851 -21.38582235804875)
12,5,12,7,69.95230099999999,POINT (-46.68852215126554 -23.6007886179581),POINT (-46.64291149380045 -23.59556186542109)
12,5,13,4,174.475629,POINT (-39.82783958989118 -20.12307068939816),POINT (-39.83164823932398 -20.10013599628512)
12,5,13,5,393.02439200000003,POINT (-35.54081704898961 -17.97583991817112),POINT (-35.55045410797061 -17.9455097372185)
12,5,13,6,709.973373,POINT (-36.04876347885941 -18.21778697076715),POINT (-36.03971471215639 -18.19671287685376)
12,5,13,7,341.613252,POINT (-46.69306540758826 -23.60052241625243),POINT (-46.65024414851923 -23.55428824454413)
12,5,14,3,50.574951,POINT (-46.68017376894122 -23.59465745521354),POINT (-46.72057049767339 -23.54864971093708)
12,5,14,7,487.5218720000001,POINT (-46.68259186910326 -23.61445231041574),POINT (-46.64595522424207 -23.54261242703888)
12,6,12,4,16.639008999999998,POINT (-46.65887977161214 -23.59450713659393),POINT (-46.69611565138302 -23.61520809045078)
12,6,12,5,961.5251440000002,POINT (-37.43400555839129 -18.93118615033341),POINT (-37.44683601328637 -18.9276531889917)
12,6,12,6,1179.6800919999998,POINT (-43.54761446423316 -22.02435346743294),POINT (-43.548360695771 -22.024544325445)
12,6,13,4,307.19207400000005,POINT (-38.85466297984735 -19.65857872265193),POINT (-38.88885155217071 -19.62191099552275)
12,6,13,5,481.590704,POINT (-40.19847353115254 -20.33736780859077),POINT (-40.2175066075277 -20.31773548516787)
12,6,13,7,38.995647,POINT (-46.6729842874087 -23.59486150332894),POINT (-46.65103411033595 -23.58143374756477)
12,6,13,13,69.2028,POINT (-46.66116357501921 -23.61245273143528),POINT (-46.53740707817943 -23.57112198838006)
12,6,14,6,21.471303,POINT (-46.67451534116628 -23.60277344426105),POINT (-46.65581878588142 -23.55280220411569)
12,7,10,2,848.2824720000001,POINT (-46.64349459785672 -23.59674768599375),POINT (-46.74243645561613 -23.65495903151363)
12,7,11,8,822.962724,POINT (-46.64775900200386 -23.6149344533288),POINT (-46.6353053906567 -23.62459307169492)
12,7,12,5,69.95230099999999,POINT (-46.64291149380045 -23.59556186542109),POINT (-46.68852215126554 -23.6007886179581)
12,7,12,8,570.023751,POINT (-46.65563513375698 -23.61078704803366),POINT (-46.63135881575025 -23.61772649871291)
12,7,13,5,212.53360600000002,POINT (-46.64574220506383 -23.61195782895209),POINT (-46.68733810538915 -23.57640219112761)
12,7,13,6,472.442976,POINT (-46.63780714868376 -23.60982033846525),POINT (-46.65838340469472 -23.56124521040693)
12,7,14,6,55.976883,POINT (-46.64895139036954 -23.59195800488293),POINT (-46.66015830596621 -23.54111597974747)
12,7,14,8,35.095453000000006,POINT (-46.64833057394073 -23.59638036611641),POINT (-46.6208396619987 -23.54405915107992)
12,8,12,4,292.2454160000001,POINT (-46.62800669034093 -23.59785902654409),POINT (-46.69496335593241 -23.60181106644905)
12,8,12,7,570.023751,POINT (-46.63135881575025 -23.61772649871291),POINT (-46.65563513375698 -23.61078704803366)
12,8,12,8,290.034248,POINT (-46.62357997032592 -23.61001039026666),POINT (-46.62357997032592 -23.61001039026666)
12,8,13,7,294.05590400000006,POINT (-46.62153957286191 -23.5891041046542),POINT (-46.65322190789367 -23.5636751363073)
12,8,13,9,77.090777,POINT (-46.61967478882128 -23.58964732519945),POINT (-46.60305267077708 -23.57478424106709)
12,9,11,9,1846.718748,POINT (-46.60307239970059 -23.60140550843551),POINT (-46.60588405913848 -23.63591738339121)
12,9,13,8,71.885533,POINT (-46.61363993415856 -23.60253318458076),POINT (-46.63600580146606 -23.57994923539095)
12,9,13,9,77.090777,POINT (-46.6003641054055 -23.60109932976904),POINT (-46.60551254099482 -23.5756528489326)
12,10,11,10,491.136924,POINT (-46.58851965126564 -23.59889113503361),POINT (-46.59094928446494 -23.62644497933891)
12,10,12,10,4729.7998720000005,POINT (-46.58971409644244 -23.60896582976851),POINT (-46.58971409644244 -23.60896582976851)
12,10,12,13,1009.036327,POINT (-46.59317986343739 -23.6001708473197),POINT (-46.53674216736561 -23.60824410186452)
12,10,13,9,257.770412,POINT (-46.5917947030509 -23.59582338700853),POINT (-46.60167153223946 -23.56753806407957)
12,10,13,10,1134.598972,POINT (-46.58145054774975 -23.5928406810539),POINT (-46.59684475627784 -23.56778639766207)
12,11,13,10,34.457348,POINT (-46.57611946652134 -23.58950847131975),POINT (-46.59022567627361 -23.58596925156789)
12,12,12,14,325.938186,POINT (-46.55655814748707 -23.61078288215517),POINT (-46.52227532098944 -23.60381719149363)
12,13,12,10,1009.036327,POINT (-46.53674216736561 -23.60824410186452),POINT (-46.59317986343739 -23.6001708473197)
12,14,12,12,325.938186,POINT (-46.52227532098944 -23.60381719149363),POINT (-46.55655814748707 -23.61078288215517)
12,14,12,17,221.57488,POINT (-46.51131155643687 -23.60143186690436),POINT (-46.46347816244071 -23.60657708243573)
12,14,12,18,282.357913,POINT (-46.51459938965326 -23.59333550086092),POINT (-46.44220852725694 -23.59192048569901)
12,16,11,18,382.376779,POINT (-46.47708955872936 -23.59513269067055),POINT (-46.44159499245486 -23.6397441787983)
12,16,12,17,893.9647669999997,POINT (-46.47944364008465 -23.60756360910034),POINT (-46.45064836673574 -23.59485816287596)
12,17,12,14,221.57488,POINT (-46.46347816244071 -23.60657708243573),POINT (-46.51131155643687 -23.60143186690436)
12,17,12,16,893.9647669999997,POINT (-46.45064836673574 -23.59485816287596),POINT (-46.47944364008465 -23.60756360910034)
12,18,12,14,282.357913,POINT (-46.44220852725694 -23.59192048569901),POINT (-46.51459938965326 -23.59333550086092)
13,1,13,2,410.532709,POINT (-46.76192909656818 -23.57691967009843),POINT (-46.74039384842013 -23.56489974897807)
13,1,14,1,190.754211,POINT (-46.75572531348424 -23.55758466846398),POINT (-46.75623046433186 -23.5425261090051)
13,1,14,2,120.60190899999999,POINT (-46.7646588414991 -23.58251428119343),POINT (-46.73947283291245 -23.52767047984523)
13,2,12,0,636.2918530000002,POINT (-46.74165784095646 -23.57680510077167),POINT (-46.78268872979871 -23.61534832818317)
13,2,12,4,20.247036,POINT (-46.73738246883051 -23.5668297300283),POINT (-46.69806422004264 -23.59454411393488)
13,2,13,1,410.532709,POINT (-46.74039384842013 -23.56489974897807),POINT (-46.76192909656818 -23.57691967009843)
13,2,13,3,203.695279,POINT (-46.74105989027615 -23.55969104209487),POINT (-46.72078578325723 -23.57495174785756)
13,2,13,4,463.762602,POINT (-46.74496363521045 -23.58157191845704),POINT (-46.70797090454743 -23.57187844806813)
13,2,13,5,37.708902,POINT (-46.73400521227949 -23.55955317555583),POINT (-46.68243408560446 -23.56290115738297)
13,2,14,5,48.563755,POINT (-46.73237823989678 -23.55799106956304),POINT (-46.69170123615349 -23.55143166861405)
13,3,11,3,160.867774,POINT (-46.73072474015338 -23.55589647068122),POINT (-46.73106773058888 -23.63354112137836)
13,3,12,2,856.761155,POINT (-46.71808159942173 -23.58471601042146),POINT (-46.73312671764675 -23.59933087492936)
13,3,13,2,203.695279,POINT (-46.72078578325723 -23.57495174785756),POINT (-46.74105989027615 -23.55969104209487)
13,3,13,3,182.54819,POINT (-46.71840992206783 -23.56742436345822),POINT (-46.71840992206783 -23.56742436345822)
13,3,13,4,572.479137,POINT (-39.29947760406356 -19.82085986167166),POINT (-39.28036871588451 -19.82314401069793)
13,3,13,5,176.151615,POINT (-46.7146060491076 -23.56379574835215),POINT (-46.68258027920069 -23.58359661077732)
13,3,14,3,109.208763,POINT (-46.7290442876274 -23.56146860790263),POINT (-46.72155714298434 -23.53866963955016)
13,3,14,5,71.106223,POINT (-46.7290442923003 -23.56146861025877),POINT (-46.69028071848571 -23.54911734554361)
13,3,14,7,22.343047,POINT (-46.72271956910979 -23.57148989230053),POINT (-46.65143224118736 -23.54824343103633)
13,4,10,4,20.247036,POINT (-46.69598931132675 -23.58558188090461),POINT (-46.71046364847177 -23.6545025206952)
13,4,11,4,39.621531,POINT (-46.69886386931407 -23.56456459209065),POINT (-46.69661541868434 -23.62281493992077)
13,4,12,5,90.595228,POINT (-46.69531508909916 -23.56360100041509),POINT (-46.69101624605747 -23.59049428443246)
13,4,12,6,307.19207400000005,POINT (-38.88885155217071 -19.62191099552275),POINT (-38.85466297984735 -19.65857872265193)
13,4,13,2,463.762602,POINT (-46.70797090454743 -23.57187844806813),POINT (-46.74496363521045 -23.58157191845704)
13,4,13,3,572.479137,POINT (-39.28036871588451 -19.82314401069793),POINT (-39.29947760406356 -19.82085986167166)
13,4,13,4,242.040668,POINT (-45.31603194679867 -22.86014040148384),POINT (-45.31603966732261 -22.86013088870862)
13,4,13,5,617.5403670000001,POINT (-34.91004488879614 -17.61316317312012),POINT (-34.90122498323337 -17.62023733410209)
13,4,13,6,79.622434,POINT (-46.70010907446309 -23.5676934418689),POINT (-46.66704825123129 -23.58492896748227)
13,4,13,7,255.599233,POINT (-46.69414981418398 -23.57814311415614),POINT (-46.64553479509266 -23.581988759758)
13,4,13,8,226.236403,POINT (-46.7123647539101 -23.56470539985153),POINT (-46.62110605963357 -23.57215875488987)
13,4,14,4,154.800474,POINT (-46.70223683123177 -23.56632466916012),POINT (-46.70111246644976 -23.55204236913607)
13,4,14,5,48.563755,POINT (-46.6961739078215 -23.56639998761209),POINT (-46.67957736099456 -23.54701189867229)
13,5,11,4,176.151615,POINT (-46.68098925785846 -23.5832977825618),POINT (-46.69928348125374 -23.62147638622943)
13,5,11,5,350.77071,POINT (-46.69101572187825 -23.5705739184191),POINT (-46.6836088664986 -23.62501548923952)
13,5,12,5,393.02439200000003,POINT (-35.55045410797061 -17.9455097372185),POINT (-35.54081704898961 -17.97583991817112)
13,5,12,6,565.852468,POINT (-40.2175066050869 -20.31773548393478),POINT (-40.19847352871289 -20.33736780735649)
13,5,12,7,212.53360600000002,POINT (-46.68733810538915 -23.57640219112761),POINT (-46.64574220506383 -23.61195782895209)
13,5,13,2,37.708902,POINT (-46.68243408560446 -23.56290115738297),POINT (-46.73400521227949 -23.55955317555583)
13,5,13,3,176.151615,POINT (-46.68258027920069 -23.58359661077732),POINT (-46.7146060491076 -23.56379574835215)
13,5,13,4,670.71846,POINT (-33.93644595930161 -17.13317041772623),POINT (-33.94505719737847 -17.12627781702858)
13,5,13,5,1171.374436,POINT (-28.99155245571371 -14.63985314061974),POINT (-28.99153117777841 -14.63988852788429)
13,5,13,6,538.432458,POINT (-36.8773752928717 -18.61267871648144),POINT (-36.85938657849055 -18.6210791832568)
13,5,13,7,262.560346,POINT (-46.67877509324921 -23.58561537828966),POINT (-46.63753562433553 -23.56268531479801)
13,5,14,3,50.574951,POINT (-46.69000441605735 -23.57116284867744),POINT (-46.7162333770064 -23.5420154061609)
13,5,14,4,1046.036009,POINT (-28.32160338158001 -14.29155555672554),POINT (-28.32807765358356 -14.27988588680833)
13,5,14,5,821.0481139999999,POINT (-34.76084568658563 -17.54054172976582),POINT (-34.76619614563799 -17.52956609118912)
13,5,14,7,44.508981000000006,POINT (-46.67736003811294 -23.55444055910433),POINT (-46.6505877429373 -23.5268868020174)
13,5,14,8,64.036073,POINT (-46.68302116334419 -23.56438477315931),POINT (-46.63344650639603 -23.54492059795565)
13,6,11,4,601.763643,POINT (-40.52003717142394 -20.45770983197002),POINT (-40.55281148991777 -20.52152357305824)
13,6,12,3,185.908847,POINT (-46.65842173129164 -23.55649491017993),POINT (-46.7192365970129 -23.59064496246963)
13,6,12,4,79.622434,POINT (-46.66704825123129 -23.58492896748227),POINT (-46.69692126433414 -23.61156017979316)
13,6,12,5,296.079544,POINT (-42.91213606126581 -21.68170336306662),POINT (-42.91644471244331 -21.69516291381887)
13,6,12,7,174.204676,POINT (-46.67086347951918 -23.57672471903745),POINT (-46.65569736149806 -23.60637966257277)
13,6,13,2,287.494677,POINT (-46.66993214176336 -23.55653424769853),POINT (-46.73369821298087 -23.58540936564403)
13,6,13,4,79.622434,POINT (-46.66704825123129 -23.58492896748227),POINT (-46.70010907446309 -23.5676934418689)
13,6,13,5,306.96041199999996,POINT (-45.5868424916827 -23.03299258416484),POINT (-45.60317667798331 -23.00938552547395)
13,6,13,6,704.261468,POINT (-34.9946683140076 -17.67893783371023),POINT (-34.99575773364631 -17.67882607732257)
13,6,13,7,1084.968063,POINT (-29.42949348686286 -14.85788275221122),POINT (-29.41388541791986 -14.86326749663794)
13,6,13,9,298.2383,POINT (-46.65838340936056 -23.56124521276305),POINT (-46.61178285484944 -23.57405277415252)
13,6,14,4,95.431133,POINT (-46.67076864419673 -23.58548498370716),POINT (-46.70667034317005 -23.55083464938596)
13,6,14,5,100.238106,POINT (-46.67367790230637 -23.5777058030122),POINT (-46.6901786252077 -23.54879337082104)
13,6,14,6,32.721625,POINT (-46.66516865825956 -23.55864422367338),POINT (-46.67466199807436 -23.53631899344621)
13,6,14,7,154.776984,POINT (-46.65966644352245 -23.55810706550403),POINT (-46.65557616350794 -23.55063753045242)
13,6,14,8,236.806023,POINT (-46.6612449096769 -23.56210864608719),POINT (-46.63375200376291 -23.53793695964269)
13,6,15,8,31.030915000000004,POINT (-46.65852038932801 -23.55420921574388),POINT (-46.62453515873533 -23.50679748465031)
13,7,11,4,147.563342,POINT (-46.65455025002355 -23.56257738083039),POINT (-46.6968691485318 -23.62273089466599)
13,7,11,5,255.599233,POINT (-46.64553479509266 -23.581988759758),POINT (-46.68765633950881 -23.62499860135904)
13,7,12,5,341.613252,POINT (-46.65024414851923 -23.55428824454413),POINT (-46.69306540758826 -23.60052241625243)
13,7,12,6,38.995647,POINT (-46.65103411033595 -23.58143374756477),POINT (-46.6729842874087 -23.59486150332894)
13,7,12,8,294.05590400000006,POINT (-46.65322190789367 -23.5636751363073),POINT (-46.62153957286191 -23.5891041046542)
13,7,13,5,262.560346,POINT (-46.63753562433553 -23.56268531479801),POINT (-46.67877509324921 -23.58561537828966)
13,7,13,6,1084.968063,POINT (-29.41388541791987 -14.86326749663794),POINT (-29.42933133460492 -14.85789613266105)
13,7,13,7,1862.4855179999995,POINT (-32.8131649645911 -16.58105479646442),POINT (-32.81316764002589 -16.58105348773002)
13,7,13,8,93.612326,POINT (-46.64172014738951 -23.55571496370645),POINT (-46.63554760716129 -23.56510829907615)
