index,Unnamed: 0,NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,geometry,lat,lon
0,0,1,Sé,36,São Paulo,80,Sé,57.1,POINT (-46.63366680608578 -23.54877270632105),-23.54877270632105,-46.633666806085785
1,1,2,Parque Dom Pedro,36,São Paulo,80,Sé,113.64,POINT (-46.62950424993775 -23.54406323903391),-23.54406323903391,-46.62950424993775
2,2,3,Praça João Mendes,36,São Paulo,80,Sé,47.75,POINT (-46.632338168263 -23.5540157883862),-23.5540157883862,-46.632338168263
3,3,4,Ladeira da Memória,36,São Paulo,67,República,75.11,POINT (-46.64152812213496 -23.5514537653042),-23.5514537653042,-46.641528122134964
4,4,5,República,36,São Paulo,67,República,74.95,POINT (-46.64269127088459 -23.54432709057121),-23.544327090571212,-46.64269127088459
5,5,6,Santa Ifigênia,36,São Paulo,67,República,82.93,POINT (-46.63835789755272 -23.53899672605772),-23.53899672605772,-46.638357897552716
6,6,7,Luz,36,São Paulo,9,Bom Retiro,154.6,POINT (-46.63435378061725 -23.5312742368102),-23.5312742368102,-46.634353780617246
7,7,8,Bom Retiro,36,São Paulo,9,Bom Retiro,143.01,POINT (-46.64453190934671 -23.52186416200071),-23.521864162000714,-46.64453190934671
8,8,9,Ponte Pequena,36,São Paulo,9,Bom Retiro,129.78,POINT (-46.63047952884423 -23.52399591239259),-23.52399591239259,-46.630479528844226
9,9,10,Canindé,36,São Paulo,57,Pari,82.61,POINT (-46.62104013150289 -23.52314851560299),-23.52314851560299,-46.621040131502895
10,10,11,Bom Jardim,36,São Paulo,57,Pari,49.85,POINT (-46.61078269173937 -23.52476570049535),-23.52476570049535,-46.61078269173937
11,11,12,Pari,36,São Paulo,57,Pari,140.16,POINT (-46.61716293061853 -23.53026998479985),-23.53026998479985,-46.61716293061853
12,12,13,João Teodoro,36,São Paulo,10,Brás,39.32,POINT (-46.62127737486644 -23.53739633583075),-23.537396335830746,-46.62127737486644
13,13,14,Oriente,36,São Paulo,10,Brás,69.88,POINT (-46.61382628096656 -23.53801618939185),-23.53801618939185,-46.613826280966556
14,14,15,Bresser,36,São Paulo,10,Brás,76.98,POINT (-46.61098832032493 -23.54380422927701),-23.54380422927701,-46.61098832032493
15,15,16,Brás,36,São Paulo,10,Brás,109.08,POINT (-46.61857302192611 -23.54992606748357),-23.549926067483568,-46.61857302192611
16,16,17,Gasômetro,36,São Paulo,10,Brás,69.35,POINT (-46.62328832242004 -23.54250111474139),-23.54250111474139,-46.62328832242004
17,17,18,Independência,36,São Paulo,14,Cambuci,253.75,POINT (-46.61512101984746 -23.56042944094143),-23.56042944094143,-46.61512101984746
18,18,19,Cambuci,36,São Paulo,14,Cambuci,140.43,POINT (-46.61942866488742 -23.57113794125981),-23.57113794125981,-46.619428664887415
19,19,20,Glicério,36,São Paulo,49,Liberdade,108.02,POINT (-46.62692861972257 -23.56394717198638),-23.563947171986385,-46.62692861972257
20,20,21,Aclimação,36,São Paulo,49,Liberdade,113.62,POINT (-46.63041172477328 -23.5728747087657),-23.572874708765703,-46.63041172477328
21,21,22,Pires da Mota,36,São Paulo,49,Liberdade,50.03,POINT (-46.63514344986554 -23.56751368249925),-23.567513682499246,-46.63514344986554
22,22,23,Centro Cultural,36,São Paulo,49,Liberdade,33.24,POINT (-46.63877655254387 -23.56730311388357),-23.567303113883572,-46.63877655254387
23,23,24,Liberdade,36,São Paulo,49,Liberdade,59.49,POINT (-46.63502927173764 -23.55971145863747),-23.559711458637466,-46.63502927173764
24,24,25,Treze de Maio,36,São Paulo,7,Bela Vista,42.85,POINT (-46.64793314751026 -23.55508656060799),-23.555086560607986,-46.64793314751026
25,25,26,Bexiga,36,São Paulo,7,Bela Vista,51.76,POINT (-46.64192461901244 -23.55820919385787),-23.55820919385787,-46.64192461901244
26,26,27,Bela Vista,36,São Paulo,7,Bela Vista,93.8,POINT (-46.64440855782503 -23.56548030365989),-23.565480303659893,-46.64440855782503
27,27,28,São Carlos do Pinhal,36,São Paulo,7,Bela Vista,31.03,POINT (-46.65020391150195 -23.56286577861535),-23.56286577861535,-46.650203911501954
28,28,29,Masp,36,São Paulo,7,Bela Vista,57.27,POINT (-46.65383723148874 -23.55827919897125),-23.55827919897125,-46.653837231488744
29,29,30,Higienópolis,36,São Paulo,26,Consolação,67.81,POINT (-46.656141582777 -23.54525797281215),-23.54525797281215,-46.656141582777
30,30,31,Vila Buarque,36,São Paulo,26,Consolação,89.58,POINT (-46.65155514406312 -23.54863576617937),-23.54863576617937,-46.65155514406312
31,31,32,Consolação,36,São Paulo,26,Consolação,57.23,POINT (-46.66005010912124 -23.55447597420116),-23.55447597420116,-46.660050109121244
32,32,33,Pacaembu,36,São Paulo,26,Consolação,90.45,POINT (-46.66847398408605 -23.55060971121055),-23.55060971121055,-46.66847398408605
33,33,34,FAAP,36,São Paulo,26,Consolação,74.45,POINT (-46.66247800887361 -23.54430945428139),-23.544309454281386,-46.662478008873606
34,34,35,Santa Cecília,36,São Paulo,70,Santa Cecília,144.09,POINT (-46.64770358023537 -23.53538365798341),-23.535383657983413,-46.647703580235365
35,35,36,Marechal Deodoro,36,São Paulo,70,Santa Cecília,142.2,POINT (-46.65642119966119 -23.53295448027482),-23.53295448027482,-46.65642119966119
36,36,37,Rudge,36,São Paulo,70,Santa Cecília,84.73,POINT (-46.65416695241702 -23.52372436888297),-23.52372436888297,-46.65416695241702
37,37,38,Catumbi,36,São Paulo,8,Belém,81.44,POINT (-46.60374307289203 -23.52857848143763),-23.528578481437634,-46.60374307289203
38,38,39,Belém,36,São Paulo,8,Belém,160.71,POINT (-46.5927924280908 -23.53257787931025),-23.53257787931025,-46.5927924280908
39,39,40,Quarta Parada,36,São Paulo,8,Belém,127.4,POINT (-46.5849742896901 -23.54656893781577),-23.546568937815767,-46.5849742896901
40,40,41,Belenzinho,36,São Paulo,8,Belém,180.11,POINT (-46.59449505474887 -23.54039335994764),-23.54039335994764,-46.59449505474887
41,41,42,Celso Garcia,36,São Paulo,8,Belém,63.89,POINT (-46.60570092905122 -23.53544448965737),-23.535444489657372,-46.60570092905122
42,42,43,Mooca,36,São Paulo,54,Mooca,271.79,POINT (-46.59740747481478 -23.55082673049437),-23.55082673049437,-46.59740747481478
43,43,44,Alto da Mooca,36,São Paulo,54,Mooca,141.65,POINT (-46.58975529595933 -23.56545038578419),-23.565450385784192,-46.58975529595933
44,44,45,Parque da Mooca,36,São Paulo,54,Mooca,381.42,POINT (-46.59752361117296 -23.567241053208),-23.567241053207997,-46.59752361117296
45,45,46,Água Rasa,36,São Paulo,1,Água Rasa,315.81,POINT (-46.56474128266083 -23.57267181574093),-23.572671815740925,-46.564741282660826
46,46,47,Vila Bertioga,36,São Paulo,1,Água Rasa,195.28,POINT (-46.57843743262292 -23.5667762072316),-23.5667762072316,-46.57843743262292
47,47,48,Regente Feijó,36,São Paulo,1,Água Rasa,203.96,POINT (-46.57569550824078 -23.5576912609542),-23.557691260954197,-46.575695508240784
48,48,49,Ana Rosa,36,São Paulo,92,Vila Mariana,94.46,POINT (-46.63436997231462 -23.57883882776727),-23.578838827767267,-46.634369972314616
49,49,50,Jardim da Glória,36,São Paulo,92,Vila Mariana,88.43,POINT (-46.62099248594858 -23.58237464743019),-23.582374647430193,-46.620992485948584
50,50,51,Chácara Klabin,36,São Paulo,92,Vila Mariana,97.57,POINT (-46.62553481840155 -23.58999951342273),-23.589999513422732,-46.62553481840155
51,51,52,Vila Mariana,36,São Paulo,92,Vila Mariana,59.61,POINT (-46.6315188679638 -23.58558352657831),-23.585583526578308,-46.6315188679638
52,52,53,Santa Cruz,36,São Paulo,92,Vila Mariana,108.52,POINT (-46.63004979838846 -23.59592327197161),-23.59592327197161,-46.63004979838846
53,53,54,Vila Clementino,36,São Paulo,92,Vila Mariana,93.7,POINT (-46.64322589294111 -23.59641138099968),-23.59641138099968,-46.64322589294111
54,54,55,França Pinto,36,São Paulo,92,Vila Mariana,112.14,POINT (-46.64132318378529 -23.58974955555312),-23.589749555553123,-46.64132318378529
55,55,56,Rodrigues Alves,36,São Paulo,92,Vila Mariana,103.55,POINT (-46.64330340927866 -23.58223874101416),-23.582238741014162,-46.64330340927866
56,56,57,Paraíso,36,São Paulo,92,Vila Mariana,96.28,POINT (-46.64726553363551 -23.57408129453783),-23.57408129453783,-46.64726553363551
57,57,58,Bosque da Saúde,36,São Paulo,79,Saúde,169.91,POINT (-46.63168383022835 -23.60629625871315),-23.60629625871315,-46.631683830228354
58,58,59,Saúde,36,São Paulo,79,Saúde,260.81,POINT (-46.63517513582157 -23.62105734739173),-23.62105734739173,-46.63517513582157
59,59,60,Planalto Paulista,36,São Paulo,79,Saúde,321.66,POINT (-46.64955799517517 -23.61811908144459),-23.618119081444586,-46.64955799517517
60,60,61,Mirandópolis,36,São Paulo,79,Saúde,173.45,POINT (-46.64281357487962 -23.60536679656092),-23.605366796560922,-46.64281357487962
61,61,62,Parque Ibirapuera,36,São Paulo,53,Moema,283.7,POINT (-46.65615969843491 -23.58450478751766),-23.584504787517663,-46.656159698434905
62,62,63,Jardim Luzitânia,36,São Paulo,53,Moema,103.07,POINT (-46.65577609576648 -23.59623229962216),-23.59623229962216,-46.65577609576648
63,63,64,Moema,36,São Paulo,53,Moema,175.13,POINT (-46.65883680535961 -23.60567309813458),-23.60567309813458,-46.65883680535961
64,64,65,Vila Helena,36,São Paulo,53,Moema,104.82,POINT (-46.66825199590866 -23.59968110865503),-23.599681108655034,-46.66825199590866
65,65,66,Bandeirantes,36,São Paulo,53,Moema,133.42,POINT (-46.66824895045265 -23.61026569077188),-23.610265690771875,-46.66824895045265
66,66,67,Vila Nova Conceição,36,São Paulo,53,Moema,112.48,POINT (-46.66761343293476 -23.58896497802593),-23.588964978025928,-46.66761343293476
67,67,68,Chácara Itaim,36,São Paulo,34,Itaim Bibi,204.01,POINT (-46.68001414040712 -23.58494224480042),-23.584942244800423,-46.68001414040712
68,68,69,Vila Olímpia,36,São Paulo,34,Itaim Bibi,89.63,POINT (-46.67686648419709 -23.59200486204801),-23.59200486204801,-46.67686648419709
69,69,70,Hélio Pelegrino,36,São Paulo,34,Itaim Bibi,103.38,POINT (-46.67873558379944 -23.60020569417721),-23.600205694177212,-46.67873558379944
70,70,71,Brooklin,36,São Paulo,34,Itaim Bibi,234.25,POINT (-46.68481578476369 -23.60899816721463),-23.608998167214626,-46.684815784763686
71,71,72,Vila Cordeiro,36,São Paulo,34,Itaim Bibi,176.69,POINT (-46.69197114922675 -23.61940141061391),-23.619401410613907,-46.691971149226745
72,72,73,Berrini,36,São Paulo,34,Itaim Bibi,197.39,POINT (-46.69191257233786 -23.60118290956779),-23.601182909567786,-46.69191257233786
73,73,74,Campinas,36,São Paulo,44,Jardim Paulista,49.08,POINT (-46.65387162384421 -23.56641242505235),-23.566412425052352,-46.65387162384421
74,74,75,Pamplona,36,São Paulo,44,Jardim Paulista,51.34,POINT (-46.65740161882662 -23.57000188148023),-23.570001881480227,-46.65740161882662
75,75,76,Jardins,36,São Paulo,44,Jardim Paulista,237.7,POINT (-46.66776463307538 -23.57287771789081),-23.57287771789081,-46.66776463307538
76,76,77,Clínicas,36,São Paulo,44,Jardim Paulista,128.72,POINT (-46.67506569956685 -23.55727343622584),-23.557273436225838,-46.67506569956685
77,77,78,Oscar Freire,36,São Paulo,44,Jardim Paulista,100.01,POINT (-46.6664477143691 -23.56390429261935),-23.563904292619352,-46.6664477143691
78,78,79,Trianon,36,São Paulo,44,Jardim Paulista,59.81,POINT (-46.66145170680025 -23.56021185850087),-23.56021185850087,-46.66145170680025
79,79,80,Jardim Paulistano,36,São Paulo,63,Pinheiros,98.98,POINT (-46.6851348752902 -23.56344238628397),-23.56344238628397,-46.6851348752902
80,80,81,Jardim Europa,36,São Paulo,63,Pinheiros,308.02,POINT (-46.68411227710715 -23.57547112302204),-23.575471123022037,-46.68411227710715
81,81,82,Pinheiros,36,São Paulo,63,Pinheiros,202.58,POINT (-46.69634169814336 -23.56712486114036),-23.56712486114036,-46.69634169814336
82,82,83,Vila Madalena,36,São Paulo,63,Pinheiros,219.31,POINT (-46.68856496706087 -23.55401637411411),-23.554016374114113,-46.68856496706087
83,83,84,PUC,36,São Paulo,61,Perdizes,73.32,POINT (-46.67116057783003 -23.5361080689064),-23.536108068906398,-46.67116057783003
84,84,85,Cardoso de Almeida,36,São Paulo,61,Perdizes,63.39,POINT (-46.66722554622624 -23.54077844000681),-23.54077844000681,-46.66722554622624
85,85,86,Zequinha de Abreu,36,São Paulo,61,Perdizes,49.61,POINT (-46.67418613950915 -23.54553829418236),-23.545538294182357,-46.674186139509146
86,86,87,Sumaré,36,São Paulo,61,Perdizes,139.16,POINT (-46.68385889373289 -23.54425358809464),-23.544253588094644,-46.68385889373289
87,87,88,Perdizes,36,São Paulo,61,Perdizes,168.45,POINT (-46.68067986135632 -23.53520008022483),-23.535200080224826,-46.680679861356325
88,88,89,Vila Anglo Brasileira,36,São Paulo,61,Perdizes,79.12,POINT (-46.69332868803129 -23.53873766947375),-23.538737669473747,-46.69332868803129
89,89,90,Pompéia,36,São Paulo,61,Perdizes,60.0,POINT (-46.68711905176912 -23.52989313189888),-23.52989313189888,-46.687119051769116
90,90,91,Santa Marina,36,São Paulo,6,Barra Funda,295.36,POINT (-46.67987385873531 -23.51715816142739),-23.517158161427393,-46.67987385873531
91,91,92,Barra Funda,36,São Paulo,6,Barra Funda,118.21,POINT (-46.66260728371956 -23.52044256047807),-23.520442560478067,-46.66260728371956
92,92,93,Francisco Matarazzo,36,São Paulo,6,Barra Funda,105.13,POINT (-46.66613463546292 -23.52965230405246),-23.529652304052462,-46.666134635462925
93,93,94,Água Branca,36,São Paulo,6,Barra Funda,71.11,POINT (-46.67747834636447 -23.52642813043382),-23.52642813043382,-46.67747834636447
94,94,95,Vila Beatriz,36,São Paulo,2,Alto de Pinheiros,183.66,POINT (-46.70019790192483 -23.54725690284166),-23.54725690284166,-46.70019790192483
95,95,96,Alto de Pinheiros,36,São Paulo,2,Alto de Pinheiros,253.17,POINT (-46.70877297121415 -23.55251652466033),-23.552516524660334,-46.70877297121415
96,96,97,Boaçava,36,São Paulo,2,Alto de Pinheiros,314.44,POINT (-46.72063874537331 -23.54356625722415),-23.54356625722415,-46.720638745373314
97,97,98,Vila Anastácio,36,São Paulo,48,Lapa,164.66,POINT (-46.71664014252496 -23.51477572623617),-23.51477572623617,-46.71664014252496
98,98,99,Lapa de Baixo,36,São Paulo,48,Lapa,242.69,POINT (-46.70002484492282 -23.51394036105744),-23.513940361057443,-46.70002484492282
99,99,100,Lapa,36,São Paulo,48,Lapa,225.22,POINT (-46.69945105976384 -23.52355650076329),-23.523556500763288,-46.69945105976384
100,100,101,Vila Ipojuca,36,São Paulo,48,Lapa,168.47,POINT (-46.69982116214197 -23.533466267786),-23.533466267786004,-46.69982116214197
101,101,102,Alto da Lapa,36,São Paulo,48,Lapa,159.95,POINT (-46.71281213734098 -23.53053161293498),-23.53053161293498,-46.712812137340975
102,102,103,Gavião Peixoto,36,São Paulo,48,Lapa,68.96,POINT (-46.71711514813639 -23.52203838808568),-23.52203838808568,-46.717115148136386
103,103,104,Bela Aliança,36,São Paulo,90,Vila Leopoldina,71.35,POINT (-46.72583023763782 -23.52382391234469),-23.52382391234469,-46.72583023763782
104,104,105,Vila Hamburguesa,36,São Paulo,90,Vila Leopoldina,149.18,POINT (-46.72632077490322 -23.53319428189138),-23.533194281891376,-46.72632077490322
105,105,106,CEASA,36,São Paulo,90,Vila Leopoldina,197.78,POINT (-46.73852914580051 -23.53587775268119),-23.535877752681195,-46.738529145800506
106,106,107,Vila Leopoldina,36,São Paulo,90,Vila Leopoldina,91.65,POINT (-46.73337156339429 -23.52690320555768),-23.526903205557684,-46.733371563394286
107,107,108,Emissário,36,São Paulo,90,Vila Leopoldina,190.52,POINT (-46.73911491652208 -23.52196841150929),-23.521968411509288,-46.73911491652208
108,108,109,Vila Zatt,36,São Paulo,64,Pirituba,1220.22,POINT (-46.72887533486463 -23.47410328064225),-23.47410328064225,-46.72887533486463
109,109,110,Pirituba,36,São Paulo,64,Pirituba,488.92,POINT (-46.71841098784506 -23.49733575477252),-23.49733575477252,-46.71841098784506
110,110,111,São Domingos,36,São Paulo,73,São Domingos,581.76,POINT (-46.7384882474412 -23.49947384405631),-23.499473844056308,-46.738488247441204
111,111,112,Jardim Mutinga,36,São Paulo,73,São Domingos,411.97,POINT (-46.75887232725376 -23.484676419879),-23.484676419878998,-46.75887232725376
112,112,113,Vila Jaguara,36,São Paulo,39,Jaguara,454.34,POINT (-46.74690296053623 -23.51096219800022),-23.510962198000218,-46.746902960536225
113,113,114,Parque do Jaraguá,36,São Paulo,41,Jaraguá,489.12,POINT (-46.76498894675171 -23.46249610612937),-23.462496106129368,-46.76498894675171
114,114,115,Nova Jaraguá,36,São Paulo,41,Jaraguá,777.78,POINT (-46.75162931124406 -23.44907236370205),-23.44907236370205,-46.75162931124406
115,115,116,Parada de Taipas,36,São Paulo,41,Jaraguá,1553.24,POINT (-46.72510207476022 -23.43865741675437),-23.438657416754374,-46.725102074760215
116,116,117,Parque Morro Doce,36,São Paulo,3,Anhanguera,1527.16,POINT (-46.80125175568398 -23.43756843218928),-23.437568432189284,-46.80125175568398
117,117,118,Anhanguera,36,São Paulo,3,Anhanguera,1812.79,POINT (-46.78562405999672 -23.42417484333487),-23.42417484333487,-46.78562405999672
118,118,119,Perus,36,São Paulo,62,Perus,2369.13,POINT (-46.74569321436882 -23.40788613806925),-23.407886138069248,-46.74569321436882
119,119,120,Vista Alegre,36,São Paulo,11,Brasilândia,742.47,POINT (-46.68550255534269 -23.43156949213917),-23.43156949213917,-46.68550255534269
120,120,121,Jardim Damasceno,36,São Paulo,11,Brasilândia,573.73,POINT (-46.68706862604566 -23.4492668347527),-23.449266834752702,-46.68706862604566
121,121,122,Vila Souza,36,São Paulo,11,Brasilândia,220.86,POINT (-46.7058415687569 -23.45406163926992),-23.454061639269923,-46.705841568756895
122,122,123,Vila Terezinha,36,São Paulo,11,Brasilândia,250.78,POINT (-46.68992483032402 -23.46363476450263),-23.463634764502626,-46.68992483032402
123,123,124,Brasilândia,36,São Paulo,11,Brasilândia,318.28,POINT (-46.68225142882049 -23.47148162242403),-23.471481622424026,-46.68225142882049
124,124,125,Vila Morro Grande,36,São Paulo,29,Freguesia do Ó,413.07,POINT (-46.70369329712033 -23.4751555031278),-23.475155503127798,-46.70369329712033
125,125,126,Itaberaba,36,São Paulo,29,Freguesia do Ó,207.42,POINT (-46.68543553796228 -23.48208321634981),-23.482083216349807,-46.685435537962285
126,126,127,Freguesia do Ó,36,São Paulo,29,Freguesia do Ó,485.85,POINT (-46.69630619119486 -23.49732453611391),-23.49732453611391,-46.69630619119486
127,127,128,Carandiru,36,São Paulo,71,Santana,38.03,POINT (-46.62575229994312 -23.50729513185685),-23.50729513185685,-46.625752299943116
128,128,129,Santana,36,São Paulo,71,Santana,54.36,POINT (-46.62192089205585 -23.50150172508246),-23.50150172508246,-46.62192089205585
129,129,130,Zaki Narchi,36,São Paulo,71,Santana,71.32,POINT (-46.61951349849706 -23.50698884632518),-23.506988846325182,-46.619513498497064
130,130,131,Tietê,36,São Paulo,71,Santana,78.6,POINT (-46.62451900705316 -23.5155596279124),-23.5155596279124,-46.62451900705316
131,131,132,Parque Anhembi,36,São Paulo,71,Santana,313.52,POINT (-46.63838494862088 -23.51160902278383),-23.511609022783826,-46.63838494862088
132,132,133,Alfredo Pujol,36,São Paulo,71,Santana,215.07,POINT (-46.63230318457593 -23.49840364572761),-23.49840364572761,-46.63230318457593
133,133,134,Santa Terezinha,36,São Paulo,71,Santana,251.08,POINT (-46.63809769112512 -23.49040782518809),-23.49040782518809,-46.63809769112512
134,134,135,Jardim São Paulo,36,São Paulo,71,Santana,291.23,POINT (-46.61880306996711 -23.48896708905205),-23.488967089052053,-46.618803069967115
135,135,136,Casa Verde,36,São Paulo,21,Casa Verde,325.35,POINT (-46.66014319218532 -23.5083107647811),-23.508310764781104,-46.66014319218532
136,136,137,Parque Peruche,36,São Paulo,21,Casa Verde,391.87,POINT (-46.6545867655588 -23.494762956567),-23.494762956567005,-46.6545867655588
137,137,138,Limão,36,São Paulo,50,Limão,171.8,POINT (-46.67839117944506 -23.50825141952859),-23.50825141952859,-46.678391179445065
138,138,139,Jardim Primavera,36,São Paulo,50,Limão,192.75,POINT (-46.680177012182 -23.49340443157553),-23.49340443157553,-46.680177012182
139,139,140,Vila Santa Maria,36,São Paulo,50,Limão,277.94,POINT (-46.67071952374913 -23.49378456492126),-23.493784564921256,-46.670719523749135
140,140,141,Cachoeirinha,36,São Paulo,13,Cachoeirinha,478.58,POINT (-46.65894176907469 -23.47168217723682),-23.47168217723682,-46.65894176907469
141,141,142,Jardim Peri,36,São Paulo,13,Cachoeirinha,443.68,POINT (-46.66387403400002 -23.45488082365296),-23.45488082365296,-46.663874034000024
142,142,143,Reserva da Cantareira,36,São Paulo,13,Cachoeirinha,436.61,POINT (-46.66279215470882 -23.43466221250689),-23.43466221250689,-46.66279215470882
143,143,144,Mandaqui,36,São Paulo,51,Mandaqui,552.45,POINT (-46.6380797483654 -23.47677772911339),-23.476777729113387,-46.6380797483654
144,144,145,Horto Florestal,36,São Paulo,51,Mandaqui,342.18,POINT (-46.64123038077164 -23.45778552024203),-23.457785520242034,-46.64123038077164
145,145,146,ETA Guaraú,36,São Paulo,51,Mandaqui,428.67,POINT (-46.64308098251895 -23.43815442681389),-23.438154426813888,-46.64308098251895
146,146,147,Parque Palmas do Tremembé,36,São Paulo,83,Tremembé,407.03,POINT (-46.60860481581526 -23.45049807997579),-23.450498079975787,-46.608604815815255
147,147,148,Tremembé,36,São Paulo,83,Tremembé,331.62,POINT (-46.62354348067613 -23.45426602158071),-23.45426602158071,-46.62354348067613
148,148,149,Cantareira,36,São Paulo,83,Tremembé,2886.45,POINT (-46.58489557664105 -23.3993761019077),-23.399376101907702,-46.584895576641046
149,149,150,Jardim das Pedras,36,São Paulo,83,Tremembé,1609.01,POINT (-46.58336012244846 -23.42169386371573),-23.42169386371573,-46.58336012244846
150,150,151,Jardim Guapira,36,São Paulo,83,Tremembé,548.53,POINT (-46.58925496319713 -23.45112528616478),-23.45112528616478,-46.589254963197135
151,151,152,Parada Inglesa,36,São Paulo,84,Tucuruvi,242.67,POINT (-46.60325291055636 -23.48582824083169),-23.48582824083169,-46.60325291055636
152,152,153,Tucuruvi,36,São Paulo,84,Tucuruvi,358.5,POINT (-46.61600561901938 -23.46990176108443),-23.46990176108443,-46.61600561901938
153,153,154,Vila Gustavo,36,São Paulo,84,Tucuruvi,345.8,POINT (-46.59690214146377 -23.47428275376944),-23.47428275376944,-46.59690214146377
154,154,155,Cohab Jova Rural,36,São Paulo,38,Jaçanã,254.58,POINT (-46.57316525434836 -23.44847298685066),-23.448472986850657,-46.57316525434836
155,155,156,Jaçanã,36,São Paulo,38,Jaçanã,386.23,POINT (-46.57858730069744 -23.46656379345557),-23.46656379345557,-46.57858730069744
156,156,157,Parque Edu Chaves,36,São Paulo,38,Jaçanã,109.91,POINT (-46.56477576756698 -23.47745756943014),-23.47745756943014,-46.56477576756698
157,157,158,Vila Medeiros,36,São Paulo,94,Vila Medeiros,335.02,POINT (-46.586606631211 -23.48982833927619),-23.48982833927619,-46.586606631211005
158,158,159,Jardim Brasil,36,São Paulo,94,Vila Medeiros,454.37,POINT (-46.57037351885377 -23.487795166251),-23.487795166251,-46.57037351885377
159,159,160,Jardim Japão,36,São Paulo,91,Vila Maria,396.23,POINT (-46.58174232227594 -23.50461620688803),-23.50461620688803,-46.581742322275936
160,160,161,Parque Novo Mundo,36,São Paulo,91,Vila Maria,551.36,POINT (-46.56917904319626 -23.51651835386743),-23.516518353867426,-46.56917904319626
161,161,162,Vila Maria,36,São Paulo,91,Vila Maria,234.12,POINT (-46.58985400432775 -23.51851582686425),-23.51851582686425,-46.589854004327755
162,162,163,Vila Isolina Mazzei,36,São Paulo,88,Vila Guilherme,379.5,POINT (-46.60334819467893 -23.50266109421787),-23.502661094217874,-46.60334819467893
163,163,164,Vila Guilherme,36,São Paulo,88,Vila Guilherme,170.9,POINT (-46.60196286392122 -23.51908476566033),-23.519084765660327,-46.601962863921216
164,164,165,Coroa,36,São Paulo,88,Vila Guilherme,174.39,POINT (-46.61346594578148 -23.51357411241457),-23.51357411241457,-46.61346594578148
165,165,166,Gomes Cardim,36,São Paulo,82,Tatuapé,243.24,POINT (-46.5615515221368 -23.54590822284772),-23.545908222847718,-46.561551522136796
166,166,167,Tatuapé,36,São Paulo,82,Tatuapé,156.88,POINT (-46.57353232526871 -23.546229650617),-23.546229650616997,-46.57353232526871
167,167,168,Chácara do Piqueri,36,São Paulo,82,Tatuapé,198.59,POINT (-46.57630299848496 -23.53298287579386),-23.53298287579386,-46.576302998484955
168,168,169,Parque São Jorge,36,São Paulo,82,Tatuapé,252.07,POINT (-46.56121740304332 -23.53099733052579),-23.530997330525786,-46.561217403043315
169,169,170,Penha,36,São Paulo,60,Penha,384.16,POINT (-46.54828926751944 -23.52137205389795),-23.521372053897945,-46.548289267519436
170,170,171,Tiquatira,36,São Paulo,60,Penha,324.46,POINT (-46.53212453298978 -23.52223920485225),-23.522239204852248,-46.532124532989776
171,171,172,Vila Esperança,36,São Paulo,60,Penha,228.82,POINT (-46.51770813908769 -23.52387308377316),-23.52387308377316,-46.51770813908769
172,172,173,Vila Ré,36,São Paulo,60,Penha,208.23,POINT (-46.49837622346982 -23.52680315471017),-23.526803154710173,-46.49837622346982
173,173,174,Rui Barbosa,36,São Paulo,18,Cangaíba,271.23,POINT (-46.50281963185796 -23.50083844308951),-23.500838443089513,-46.50281963185796
174,174,175,Estação Eng. Goulart,36,São Paulo,18,Cangaíba,193.33,POINT (-46.51439637239123 -23.50302877565345),-23.503028775653448,-46.514396372391225
175,175,176,Cangaíba,36,São Paulo,18,Cangaíba,333.53,POINT (-46.53128091995156 -23.50773839091261),-23.50773839091261,-46.53128091995156
176,176,177,Parque Ecológico do Tietê,36,São Paulo,18,Cangaíba,530.85,POINT (-46.52137598707579 -23.49191257779858),-23.491912577798576,-46.52137598707579
